label,area,perimeter,eccentricity,solidity,orientation,centroid_y,centroid_x,stack,frame,Genotype
29,153,61.62741699796952,0.9579926677596904,0.8453038674033149,1.261528202242126,934.1045751633987,914.2091503267974,WT-1.tif,0,WT
30,74,47.65685424949238,0.9864475426007665,0.925,1.5602313616006256,940.8513513513514,716.8783783783783,WT-1.tif,0,WT
1,1074,235.47413408594537,0.9861674478061079,0.7611622962437987,-1.494057855682194,472.5512104283054,249.50465549348232,WT-1.tif,1,WT
2,761,180.56854249492378,0.9880484609123487,0.7829218106995884,1.5228577008878814,465.892247043364,448.042049934297,WT-1.tif,1,WT
3,119,50.384776310850235,0.9566658081717859,0.8880597014925373,1.3525159587237707,468.52941176470586,354.25210084033614,WT-1.tif,1,WT
4,467,147.8111831820431,0.7882270487594354,0.5131868131868131,1.0607552717889897,489.9764453961456,199.50749464668095,WT-1.tif,1,WT
5,195,52.284271247461895,0.42824190183514643,0.9420289855072463,1.4032009116018884,488.16410256410256,253.18974358974359,WT-1.tif,1,WT
6,454,92.08326112068522,0.9097658128653683,0.9399585921325052,0.7081198367029624,626.6321585903083,600.4603524229075,WT-1.tif,1,WT
7,164,57.798989873223334,0.9442700112633551,0.8961748633879781,-1.40549748371655,674.3231707317074,432.1158536585366,WT-1.tif,1,WT
8,397,98.76955262170047,0.9701465547316674,0.9211136890951276,1.2919898996129895,691.9068010075566,576.9168765743073,WT-1.tif,1,WT
9,229,67.01219330881975,0.9124945792773781,0.9123505976095617,0.6408190395250383,728.5240174672489,737.2052401746724,WT-1.tif,1,WT
10,199,68.31980515339464,0.9508560012935883,0.8468085106382979,-1.0944001263556058,728.8492462311558,602.3768844221106,WT-1.tif,1,WT
11,574,117.05382386916237,0.9140571931549832,0.8367346938775511,-0.33761485660327106,751.1184668989547,568.8554006968641,WT-1.tif,1,WT
12,434,97.39696961966999,0.9541866187478899,0.921443736730361,1.0166038790064111,748.8732718894009,644.0783410138249,WT-1.tif,1,WT
13,371,96.84062043356595,0.9494705992063768,0.7893617021276595,1.3675266743161665,757.0080862533692,521.5202156334232,WT-1.tif,1,WT
14,287,79.01219330881976,0.918534760669169,0.8567164179104477,0.9801077580819302,809.993031358885,590.0836236933798,WT-1.tif,1,WT
15,286,76.91168824543142,0.8954352201587006,0.8854489164086687,0.9065975946707509,813.1153846153846,455.24825174825173,WT-1.tif,1,WT
16,103,43.7634559672906,0.9294533057673044,0.9035087719298246,1.442875635995094,816.8058252427185,512.5145631067961,WT-1.tif,1,WT
17,148,63.62741699796952,0.9651924148705768,0.8176795580110497,1.3418497017067947,819.3445945945946,540.9121621621622,WT-1.tif,1,WT
18,331,84.2842712474619,0.9433811331246912,0.9118457300275482,-1.4077288060021547,828.0574018126888,479.1299093655589,WT-1.tif,1,WT
19,612,152.5035713374682,0.9787739521981477,0.8073878627968337,1.2022417447458404,838.3071895424837,607.1895424836601,WT-1.tif,1,WT
20,203,54.04163056034261,0.7987354397880919,0.9485981308411215,0.9042959455993104,843.9261083743843,706.2068965517242,WT-1.tif,1,WT
21,621,178.81118318204307,0.9837065193912493,0.7162629757785467,1.5604496709781808,858.7761674718197,821.6425120772947,WT-1.tif,1,WT
22,388,79.84062043356596,0.8790425995292294,0.9651741293532339,0.7263812998658924,867.5850515463917,705.2989690721649,WT-1.tif,1,WT
23,748,146.8528137423857,0.9464145469573735,0.8174863387978142,1.0815900180654578,882.2366310160428,750.7312834224599,WT-1.tif,1,WT
24,715,157.75230867899737,0.8842815302893863,0.7510504201680672,1.448573047579036,881.8461538461538,519.6993006993007,WT-1.tif,1,WT
25,402,118.61017305526643,0.9814931854095341,0.9013452914798207,0.9358955476545037,912.8805970149253,624.2860696517413,WT-1.tif,1,WT
26,479,131.66904755831212,0.9844140978469597,0.8805147058823529,-1.328348721363015,910.5845511482255,677.0918580375783,WT-1.tif,1,WT
27,521,136.91168824543144,0.9673532250898043,0.8153364632237872,1.3659088999395999,933.3262955854127,842.8349328214971,WT-1.tif,1,WT
28,217,72.73401871576773,0.9439100294102695,0.868,1.0474556799142227,931.852534562212,906.4285714285714,WT-1.tif,1,WT
29,103,64.9350288425444,0.9892431539862924,0.8373983739837398,1.5521292725124705,940.6990291262136,716.3980582524272,WT-1.tif,1,WT
1,784,185.1543289325507,0.9882468272263035,0.7538461538461538,1.515794620356691,466.5012755102041,448.0905612244898,WT-1.tif,2,WT
2,391,86.59797974644665,0.6587243677339687,0.8906605922551253,1.4104150445865906,472.0460358056266,276.4168797953964,WT-1.tif,2,WT
3,77,42.38477631085023,0.9684275752750768,0.8461538461538461,1.3103532121479124,469.4935064935065,356.06493506493507,WT-1.tif,2,WT
4,496,149.98275605729688,0.7993295189396363,0.5327604726100966,0.9259333753412792,490.99798387096774,199.03024193548387,WT-1.tif,2,WT
5,215,55.4558441227157,0.4224794251408919,0.9188034188034188,-1.339355859096954,489.42790697674417,253.1953488372093,WT-1.tif,2,WT
6,434,91.74011537017762,0.9125969031002257,0.9353448275862069,0.6944561824715643,627.6797235023041,601.8087557603686,WT-1.tif,2,WT
7,153,51.798989873223334,0.9103923566876267,0.9107142857142857,-1.4218316418416417,674.4248366013072,432.078431372549,WT-1.tif,2,WT
8,351,95.59797974644667,0.9748139804536454,0.9140625,1.3176275559415798,691.1082621082621,576.2222222222222,WT-1.tif,2,WT
9,117,53.76955262170047,0.9693752849344768,0.8796992481203008,0.6543461236717621,727.7692307692307,738.7692307692307,WT-1.tif,2,WT
10,465,107.46803743153546,0.958365292234081,0.9046692607003891,1.0151349441783881,747.4795698924731,643.4043010752688,WT-1.tif,2,WT
11,455,124.12489168102786,0.8984048884195722,0.7065217391304348,-0.4994701316212254,754.9802197802197,572.2835164835165,WT-1.tif,2,WT
12,539,132.8111831820431,0.9359912854385738,0.6745932415519399,1.0353351749673894,761.708719851577,528.3729128014842,WT-1.tif,2,WT
13,81,40.970562748477136,0.9524911513111987,0.8901098901098901,1.2308238441122143,796.2962962962963,553.4567901234568,WT-1.tif,2,WT
14,252,62.76955262170047,0.8744881705305854,0.9581749049429658,0.8737833384547601,809.281746031746,592.484126984127,WT-1.tif,2,WT
15,176,63.59797974644666,0.9555632503948294,0.8844221105527639,0.6079057198196107,812.125,459.08522727272725,WT-1.tif,2,WT
16,249,105.49137802864844,0.991472201187093,0.7455089820359282,1.5160425304001273,817.6586345381526,524.4819277108434,WT-1.tif,2,WT
17,341,88.2842712474619,0.9467701943216111,0.9166666666666666,-1.3903253696393487,827.4252199413489,479.95601173020526,WT-1.tif,2,WT
18,668,175.0538238691624,0.9810861813694077,0.7776484284051223,1.2307815510599012,836.7604790419161,606.3398203592815,WT-1.tif,2,WT
19,524,107.59797974644665,0.752110945635867,0.808641975308642,1.220755205628793,843.5190839694657,676.925572519084,WT-1.tif,2,WT
20,511,131.01219330881977,0.9745491404392876,0.8720136518771331,-1.5334808795624022,857.5244618395303,826.4324853228962,WT-1.tif,2,WT
21,378,78.42640687119284,0.863030842560726,0.9545454545454546,0.7202576039824908,866.4629629629629,706.1640211640212,WT-1.tif,2,WT
22,648,130.95331880577405,0.9418060740681673,0.8382923673997412,1.1486201292913514,881.158950617284,751.0308641975308,WT-1.tif,2,WT
23,664,149.4386001800126,0.8987593062704486,0.7519818799546999,1.443618053362801,881.3765060240963,519.9548192771084,WT-1.tif,2,WT
24,194,63.941125496954285,0.9529595096408172,0.919431279620853,-1.1652425420204389,881.5309278350516,630.819587628866,WT-1.tif,2,WT
25,559,145.32590180780454,0.9871076851091097,0.8626543209876543,-1.3110184399861182,909.2021466905188,677.0697674418604,WT-1.tif,2,WT
26,334,105.74621202458749,0.9770665148402212,0.8477157360406091,0.9033275666539654,913.9281437125749,626.9011976047905,WT-1.tif,2,WT
27,713,207.78174593052023,0.9858808112534511,0.6001683501683501,1.5118576637998482,933.553997194951,859.2370266479663,WT-1.tif,2,WT
28,599,137.25483399593904,0.9626320203420734,0.844851904090268,1.381685200889013,937.110183639399,627.3722871452421,WT-1.tif,2,WT
29,125,67.27817459305203,0.9873052317311346,0.9259259259259259,1.5677999960832305,940.448,715.288,WT-1.tif,2,WT
1,814,189.63961030678928,0.9890747253020572,0.7767175572519084,1.507798225089187,466.8415233415233,447.73832923832924,WT-1.tif,3,WT
2,1035,241.47413408594534,0.9910657350956307,0.7050408719346049,-1.5047237334454882,473.9671497584541,244.94685990338164,WT-1.tif,3,WT
3,220,54.62741699796952,0.48610323483900014,0.944206008583691,-1.5582346872208581,488.7818181818182,252.30454545454546,WT-1.tif,3,WT
4,309,92.76955262170047,0.9287104966367337,0.7119815668202765,0.08777833141587545,496.13592233009706,202.4433656957929,WT-1.tif,3,WT
5,359,78.76955262170047,0.8852817342233834,0.9397905759162304,0.6728908955071816,626.5543175487466,600.6740947075209,WT-1.tif,3,WT
6,128,48.62741699796952,0.9044475854187844,0.8888888888888888,-1.2491261537709053,675.5,427.9140625,WT-1.tif,3,WT
7,57,27.31370849898476,0.8310446131221672,0.9661016949152542,1.2363522016089015,679.1578947368421,561.9649122807018,WT-1.tif,3,WT
8,288,89.59797974644667,0.9769285557240875,0.8753799392097265,1.3118439185690236,691.1770833333334,576.8680555555555,WT-1.tif,3,WT
9,241,80.49747468305833,0.8358580033061638,0.7026239067055393,-1.5218730712344373,723.6846473029045,382.2240663900415,WT-1.tif,3,WT
10,142,50.698484809834994,0.9175114457960551,0.9342105263157895,0.6342239065835962,730.2816901408451,740.0774647887324,WT-1.tif,3,WT
11,528,133.02438661763952,0.9734680620581035,0.8448,0.9990741105761962,746.2727272727273,641.751893939394,WT-1.tif,3,WT
12,444,126.05382386916236,0.970392561734268,0.751269035532995,-1.1077348909214695,739.6644144144144,577.277027027027,WT-1.tif,3,WT
13,387,94.76955262170047,0.9414449526235646,0.8199152542372882,1.3437813882640397,756.0206718346253,522.4496124031008,WT-1.tif,3,WT
14,186,59.941125496954285,0.939463505664386,0.9207920792079208,-1.0725596290964117,761.5913978494624,571.8172043010753,WT-1.tif,3,WT
15,260,65.59797974644667,0.8817910851017802,0.931899641577061,0.8127093863061992,810.1115384615384,592.8615384615384,WT-1.tif,3,WT
16,363,91.11269837220809,0.9436719833583687,0.8746987951807229,-1.3859971893041665,827.5482093663912,479.88429752066116,WT-1.tif,3,WT
17,344,100.39087296526012,0.9662066199954634,0.8664987405541562,1.3482821392088984,831.3924418604652,588.7558139534884,WT-1.tif,3,WT
18,1053,229.09545442950497,0.9834438539269325,0.6230769230769231,1.4917990521707247,843.8907882241216,652.0037986704654,WT-1.tif,3,WT
19,32,21.313708498984763,0.9455243983218015,0.8648648648648649,-1.4757618683828948,835.5625,769.0625,WT-1.tif,3,WT
20,616,175.25483399593907,0.9844278130828116,0.6844444444444444,1.5351782581682771,858.2581168831168,823.1363636363636,WT-1.tif,3,WT
21,385,77.84062043356596,0.8531754399333858,0.9577114427860697,0.6858563826956988,867.1272727272727,706.2025974025973,WT-1.tif,3,WT
22,504,104.39696961966999,0.7560752369688989,0.8484848484848485,1.0000546242488022,881.7896825396825,514.5099206349206,WT-1.tif,3,WT
23,625,131.78174593052023,0.9511697645457623,0.8054123711340206,1.2121999602723297,881.5296,749.9248,WT-1.tif,3,WT
24,665,157.1543289325507,0.9863606226027588,0.8761528326745718,-1.3303149793103628,910.0586466165414,677.9864661654135,WT-1.tif,3,WT
25,434,100.08326112068522,0.9135438357936845,0.875,-1.4162663716617923,912.573732718894,543.2396313364055,WT-1.tif,3,WT
26,592,136.8761543394987,0.9571091801695893,0.8098495212038304,1.3225757438067796,936.5337837837837,626.6875,WT-1.tif,3,WT
27,1181,324.75840533340727,0.9908377885469428,0.6992303137951451,1.5570703418853973,934.3132938187977,837.5673158340389,WT-1.tif,3,WT
28,116,66.10660171779821,0.9876538746360556,0.8923076923076924,1.5377636565192774,940.5086206896551,717.2844827586207,WT-1.tif,3,WT
1,823,191.88225099390854,0.9887776384936234,0.7447963800904978,1.5157064805194511,467.29769137302554,447.14702308626977,WT-1.tif,4,WT
2,1439,367.9360748630709,0.9697732172020825,0.41965587634878976,-1.3752934920932263,479.956914523975,228.19805420430853,WT-1.tif,4,WT
3,193,50.970562748477136,0.520238162777042,0.9507389162561576,0.9856456959097301,488.20725388601034,251.8134715025907,WT-1.tif,4,WT
4,227,57.94112549695428,0.808522961701801,0.941908713692946,0.6760599377694851,624.7929515418502,600.0704845814978,WT-1.tif,4,WT
5,135,52.8700576850888,0.9346219012795343,0.8766233766233766,-1.107876304416848,674.1703703703704,427.3777777777778,WT-1.tif,4,WT
6,279,81.9827560572969,0.8254146102929304,0.7622950819672131,1.5044232549783483,723.1146953405018,381.741935483871,WT-1.tif,4,WT
7,138,53.35533905932737,0.9336208705278443,0.9139072847682119,0.6205061427705431,729.0072463768116,739.0579710144928,WT-1.tif,4,WT
8,500,125.46803743153546,0.9600223393690912,0.7692307692307693,-1.0994353154889205,740.54,574.49,WT-1.tif,4,WT
9,506,119.29646455628166,0.970280735996125,0.8987566607460036,1.0558955903403422,748.1185770750989,646.3596837944664,WT-1.tif,4,WT
10,568,148.46803743153546,0.9359903964851762,0.6513761467889908,1.067558861576952,758.5088028169014,526.3697183098592,WT-1.tif,4,WT
11,194,63.112698372208094,0.9443766510645843,0.9065420560747663,-1.0900925104902488,759.7525773195877,572.5463917525773,WT-1.tif,4,WT
12,104,51.62741699796952,0.9722945936316928,0.8455284552845529,1.2075371372661636,796.7692307692307,558.625,WT-1.tif,4,WT
13,133,42.04163056034261,0.6990380319092587,0.95,-1.0761074417294914,805.7067669172932,447.4736842105263,WT-1.tif,4,WT
14,290,75.25483399593904,0.9258390835043958,0.9177215189873418,0.9936181892975507,808.4862068965517,591.2068965517242,WT-1.tif,4,WT
15,134,61.976659402887016,0.9708349385978039,0.7928994082840237,-0.9792561911509912,814.5970149253732,696.6641791044776,WT-1.tif,4,WT
16,378,93.35533905932738,0.9438094680397485,0.8709677419354839,-1.4031261367261898,827.074074074074,479.494708994709,WT-1.tif,4,WT
17,719,167.36753236814712,0.9773059383313264,0.8142695356738392,1.232890117851726,837.3699582753825,610.2322670375521,WT-1.tif,4,WT
18,538,102.66904755831213,0.7231784382798446,0.8733766233766234,1.0353525461418003,843.6338289962825,678.1747211895911,WT-1.tif,4,WT
19,394,87.15432893255071,0.8906558723633393,0.9057471264367816,0.6652036091340443,866.1395939086294,706.7030456852792,WT-1.tif,4,WT
20,647,170.08326112068522,0.9841682529787864,0.7814009661835749,1.527480442561561,856.9304482225657,822.0880989180835,WT-1.tif,4,WT
21,183,53.21320343559643,0.8045410231866702,0.9336734693877551,0.1415151218378665,877.360655737705,664.2131147540983,WT-1.tif,4,WT
22,498,95.25483399593904,0.7992004218622288,0.907103825136612,1.167664038112896,879.7911646586346,514.0180722891566,WT-1.tif,4,WT
23,344,76.18376618407356,0.8696220774438947,0.9222520107238605,-1.3911519630959428,876.2383720930233,741.0581395348837,WT-1.tif,4,WT
24,205,65.698484809835,0.9482268033008241,0.9111111111111111,-1.2006274270413306,882.5658536585366,632.6829268292682,WT-1.tif,4,WT
25,571,150.32590180780454,0.986374061821364,0.8894080996884736,-1.3225040809111783,908.9054290718038,680.031523642732,WT-1.tif,4,WT
26,301,83.94112549695427,0.8318894164558701,0.8091397849462365,-1.4291664574559542,911.2823920265781,536.9800664451827,WT-1.tif,4,WT
27,708,155.49747468305833,0.9667586375456941,0.8358913813459268,1.3532049537377902,935.9830508474577,627.5762711864406,WT-1.tif,4,WT
28,510,124.42640687119285,0.9274003936498171,0.7822085889570553,-1.441832349435293,934.4294117647058,807.7882352941176,WT-1.tif,4,WT
29,813,206.71067811865473,0.977374753525965,0.6509207365892714,-1.4864528543764823,931.9225092250922,867.2952029520295,WT-1.tif,4,WT
30,76,53.89949493661166,0.9917735223799161,0.8735632183908046,-1.5584497433364652,941.0,718.0263157894736,WT-1.tif,4,WT
1,659,150.04772721475248,0.9790077771199923,0.8186335403726708,1.5560417611989426,466.81790591805765,440.05614567526555,WT-1.tif,5,WT
2,607,159.98275605729688,0.9703774956898235,0.6851015801354402,-1.452560867139503,472.71499176276774,261.6771004942339,WT-1.tif,5,WT
3,370,102.42640687119285,0.8988397332814013,0.7414829659318637,1.0807043261172606,487.5567567567568,193.37297297297297,WT-1.tif,5,WT
4,225,62.04163056034261,0.7192159755223183,0.896414342629482,-1.5043861031870434,487.9111111111111,253.08444444444444,WT-1.tif,5,WT
5,318,97.63961030678928,0.8803426931933275,0.6794871794871795,-1.3228153430666005,721.874213836478,383.937106918239,WT-1.tif,5,WT
6,125,51.2842712474619,0.9453105595079556,0.8992805755395683,0.6175281554490859,729.944,740.272,WT-1.tif,5,WT
7,574,151.53910524340094,0.9759046869690505,0.7086419753086419,-1.074308738027186,740.1759581881533,576.1324041811847,WT-1.tif,5,WT
8,466,113.29646455628166,0.9679844847533514,0.89272030651341,1.0559249222124008,748.1330472103004,649.7317596566523,WT-1.tif,5,WT
9,447,110.01219330881976,0.9565357731264679,0.8262476894639557,1.3797450217053164,752.17225950783,520.3713646532439,WT-1.tif,5,WT
10,214,71.76955262170048,0.9595844413456237,0.895397489539749,-1.125111245223822,758.0700934579439,572.9392523364486,WT-1.tif,5,WT
11,303,79.49747468305833,0.9396126834633914,0.9181818181818182,1.02425654110308,807.3894389438943,591.4884488448845,WT-1.tif,5,WT
12,135,44.62741699796952,0.7461035250422884,0.9310344827586207,-1.3089748790562779,805.8592592592593,447.77037037037036,WT-1.tif,5,WT
13,172,66.52691193458118,0.9643703201714051,0.864321608040201,-1.0236680337015653,813.1104651162791,697.2325581395348,WT-1.tif,5,WT
14,378,95.698484809835,0.9615529780734574,0.9064748201438849,-1.397404927270236,824.6507936507936,479.63492063492066,WT-1.tif,5,WT
15,656,143.01828996322962,0.9725663589778936,0.8431876606683805,1.2324793743047668,836.8094512195122,612.2850609756098,WT-1.tif,5,WT
16,543,105.9827560572969,0.6305092433394711,0.8524332810047096,1.123508859973715,844.0386740331492,679.1639042357274,WT-1.tif,5,WT
17,661,172.56854249492378,0.9843570817210189,0.7311946902654868,1.5050221508546584,856.7382753403933,821.875945537065,WT-1.tif,5,WT
18,740,159.3380951166243,0.9628308383167349,0.6648697214734951,1.267667643499692,870.8648648648649,724.0081081081081,WT-1.tif,5,WT
19,191,58.55634918610404,0.8295949210925858,0.8925233644859814,0.12150073522234447,875.3717277486911,663.937172774869,WT-1.tif,5,WT
20,506,104.04772721475248,0.8397718773881112,0.8709122203098106,1.239508490272752,878.3833992094861,513.7885375494071,WT-1.tif,5,WT
21,297,104.91168824543142,0.9854627697662391,0.8461538461538461,-1.2037634499174863,883.7340067340067,625.3333333333334,WT-1.tif,5,WT
22,580,160.56854249492378,0.9890374461774354,0.8345323741007195,-1.3504311136770497,907.4913793103449,676.5086206896551,WT-1.tif,5,WT
23,368,101.49747468305834,0.871120438458454,0.8177777777777778,-1.1619016913160247,908.7717391304348,538.0788043478261,WT-1.tif,5,WT
24,632,174.12489168102783,0.21187168240504126,0.5745454545454546,-0.7720297155052551,929.6740506329114,806.3575949367089,WT-1.tif,5,WT
25,712,203.91778489984128,0.9872248347794977,0.6059574468085106,-1.5395286129962453,933.6109550561798,868.7345505617977,WT-1.tif,5,WT
1,1101,294.2375900532359,0.9941602117821636,0.5447798119742702,-1.4677424995094952,476.06085376930065,230.8946412352407,WT-1.tif,6,WT
2,797,188.5685424949238,0.9891020637975881,0.805050505050505,1.5152303732883918,468.2158092848181,446.74153074027606,WT-1.tif,6,WT
3,193,51.59188309203678,0.5819750998883418,0.9368932038834952,1.4757080526583297,487.6580310880829,251.08290155440415,WT-1.tif,6,WT
4,297,79.25483399593904,0.8812649920972138,0.8296089385474861,-1.2125856784758782,722.8552188552188,384.96632996632997,WT-1.tif,6,WT
5,73,34.38477631085024,0.8252266569204082,0.8902439024390244,0.6648874089218848,728.7260273972603,739.2328767123288,WT-1.tif,6,WT
6,104,46.7634559672906,0.8814611348559143,0.8062015503875969,1.4873738203767606,731.1634615384615,595.8269230769231,WT-1.tif,6,WT
7,452,117.88225099390856,0.9720406915323514,0.888015717092338,1.0863187867291277,749.6902654867257,650.8672566371681,WT-1.tif,6,WT
8,418,113.7401153701776,0.9356051201837887,0.7231833910034602,1.1211099184525264,748.9688995215311,523.6602870813397,WT-1.tif,6,WT
9,219,56.38477631085024,0.7532828334344538,0.9358974358974359,-1.2783540116250267,745.2009132420092,566.2511415525114,WT-1.tif,6,WT
10,215,70.76955262170048,0.9585927580890556,0.8884297520661157,-1.1227673115031616,757.339534883721,575.3209302325581,WT-1.tif,6,WT
11,161,59.112698372208094,0.9481836131118464,0.92,1.05551176811732,793.7639751552795,559.5031055900621,WT-1.tif,6,WT
12,144,45.698484809834994,0.8118443381956071,0.9411764705882353,-1.1621394551185265,805.5347222222222,448.6458333333333,WT-1.tif,6,WT
13,313,81.59797974644667,0.9219915232390559,0.884180790960452,1.264107814605923,807.9329073482428,594.0287539936103,WT-1.tif,6,WT
14,216,70.18376618407356,0.9466724402827861,0.8744939271255061,-0.9582696476209039,813.0046296296297,695.75,WT-1.tif,6,WT
15,419,104.18376618407356,0.9644694001793886,0.8603696098562629,-1.428780223660561,823.1384248210023,479.50357995226733,WT-1.tif,6,WT
16,474,90.21930009000631,0.6521321467273931,0.8960302457466919,1.3674048667253353,841.7721518987341,676.4852320675105,WT-1.tif,6,WT
17,560,119.98275605729688,0.9447218709794557,0.8549618320610687,1.3887417840562972,841.9571428571429,630.1357142857142,WT-1.tif,6,WT
18,615,175.63961030678928,0.9833255385101637,0.7427536231884058,1.4829167571813797,855.8666666666667,823.3154471544716,WT-1.tif,6,WT
19,675,149.4386001800126,0.9651309565645847,0.6797583081570997,1.2980786896297145,871.8651851851852,726.1274074074074,WT-1.tif,6,WT
20,485,106.91168824543142,0.8600322112469163,0.8479020979020979,1.3012049251882267,879.0948453608247,512.9340206185567,WT-1.tif,6,WT
21,357,120.11879502661796,0.9891486349953121,0.8341121495327103,-1.2022449332488432,883.2577030812325,622.8515406162466,WT-1.tif,6,WT
22,633,172.9116882454314,0.9924981458487042,0.8285340314136126,-1.3687843181039716,906.4628751974724,672.4897314375987,WT-1.tif,6,WT
23,242,70.42640687119285,0.7747740876155965,0.825938566552901,1.5137684537060951,907.2066115702479,531.1818181818181,WT-1.tif,6,WT
24,532,128.46194077712556,0.876285150291497,0.7471910112359551,-1.3719405997604472,933.343984962406,807.3383458646616,WT-1.tif,6,WT
25,337,79.56244584051392,0.8144681610007999,0.8685567010309279,1.449730587468478,925.1780415430267,894.8902077151336,WT-1.tif,6,WT
26,1051,296.4030662740799,0.9922276313833819,0.5797021511307225,1.457052751614357,936.1655566127498,645.3920076117982,WT-1.tif,6,WT
27,189,61.69848480983499,0.6934571244718762,0.84,1.2737240750513383,933.8941798941798,761.7037037037037,WT-1.tif,6,WT
28,339,103.4558441227157,0.9710304689966023,0.8349753694581281,1.3922115130654027,934.4955752212389,851.2979351032449,WT-1.tif,6,WT
1,702,157.49747468305833,0.9798346690856249,0.8210526315789474,1.5531682540973817,467.4159544159544,437.5569800569801,WT-1.tif,7,WT
2,1113,292.65180361560897,0.993471541075512,0.5595776772247361,-1.4665574351603046,475.8867924528302,231.53998203054806,WT-1.tif,7,WT
3,213,58.2842712474619,0.5853983865195279,0.9260869565217391,1.5182505820027488,487.6431924882629,249.7887323943662,WT-1.tif,7,WT
4,241,76.66904755831214,0.943140895319429,0.8426573426573427,-1.024630996896135,722.4315352697096,386.5850622406639,WT-1.tif,7,WT
5,384,101.15432893255071,0.9164999448022697,0.8152866242038217,-0.04455391210174319,739.9192708333334,739.6197916666666,WT-1.tif,7,WT
6,448,113.15432893255071,0.9531045497037612,0.7392739273927392,-1.0575160223962652,738.7455357142857,576.7075892857143,WT-1.tif,7,WT
7,401,106.81118318204308,0.9710747375169827,0.9011235955056179,1.0744407637999782,751.4314214463841,654.1221945137157,WT-1.tif,7,WT
